Group	Type	Subtype_name	Subtype	Gene_count	Protein_count	Gene_accessions	Protein_accessions
Immune receptor	PRRs	ATP-binding cassette sub-family F member-like	ABCF1	83	124	"LOC101845816, LOC101859765, LOC101847643, LOC101849445, LOC101860085, LOC101863573, LOC101852540, LOC101845316, LOC101849372, LOC101858629, LOC101863270, LOC101855875, LOC101859949, LOC101862516, LOC101854886, LOC101857740, LOC101848682, LOC101854271, LOC101862832, LOC101850602, LOC101862902, LOC101852127, LOC101848703, LOC101855627, LOC101851248, LOC101857153, LOC106011245, LOC101858615, LOC101855550, LOC101851114, LOC101863574, LOC101853542, LOC101863978, LOC101857877, LOC101864068, LOC101852184, LOC101858645, LOC106012418, LOC101850581, LOC101851427, LOC101858207, LOC101858051, LOC101858209, LOC101849637, LOC101849640, LOC101857136, LOC101860442, LOC101863131, LOC101848470, LOC101856696, LOC106013498, LOC101858982, LOC101845750, LOC101863239, LOC101857928, LOC101863570, LOC101851019, LOC101847179, LOC101854938, LOC118477471, LOC101860803, LOC101855688, LOC101855916, LOC101855189, LOC101861046, LOC101857806, LOC101851198, LOC101862880, LOC118478243, LOC101860598, LOC106012934, LOC101853195, LOC101861159, LOC101862380, LOC101863147, LOC101856948, LOC101863073, LOC101862163, LOC101855167, LOC118479123, LOC101860234, LOC101847936, LOC101848177"	"XP_005090015.1, XP_005090016.1, XP_005090017.1, XP_005091940.1, XP_005094155.1, XP_005094340.1, XP_005094341.1, XP_005094919.1, XP_005095104.1, XP_005095105.1, XP_005095107.1, XP_005095479.1, XP_005096296.1, XP_005096297.1, XP_005097598.2, XP_005099011.1, XP_005099201.2, XP_005100698.1, XP_005102782.1, XP_005103124.1, XP_005103125.1, XP_005103127.1, XP_005104370.1, XP_005104371.1, XP_005105419.2, XP_005105420.1, XP_005105556.2, XP_005105583.1, XP_005108173.1, XP_005108894.3, XP_005109370.3, XP_005110665.2, XP_005111051.2, XP_012934691.1, XP_012934948.2, XP_012935434.1, XP_012935670.2, XP_012935697.1, XP_012935807.1, XP_012936117.1, XP_012936225.1, XP_012936334.2, XP_012936336.1, XP_012936337.1, XP_012937343.1, XP_012937346.1, XP_012937349.1, XP_012937350.1, XP_012938229.1, XP_012938536.2, XP_012939153.1, XP_012939244.1, XP_012940212.1, XP_012940811.1, XP_012940917.1, XP_012941006.1, XP_012941583.2, XP_012941784.1, XP_012942089.1, XP_012942207.2, XP_012942425.1, XP_012942497.1, XP_012942844.1, XP_012943241.1, XP_012944065.1, XP_012944277.1, XP_012944861.1, XP_012945287.1, XP_012945289.1, XP_012946263.2, XP_012946646.1, XP_012946828.2, XP_035824257.1, XP_035824262.1, XP_035824444.1, XP_035824445.1, XP_035824446.1, XP_035824447.1, XP_035824448.1, XP_035824449.1, XP_035824676.1, XP_035824776.1, XP_035824777.1, XP_035824811.1, XP_035824889.1, XP_035825063.1, XP_035825122.1, XP_035825125.1, XP_035825382.1, XP_035825383.1, XP_035825786.1, XP_035825788.1, XP_035825789.1, XP_035825790.1, XP_035825996.1, XP_035826205.1, XP_035826216.1, XP_035826226.1, XP_035826503.1, XP_035826889.1, XP_035827336.1, XP_035827891.1, XP_035827955.1, XP_035828246.1, XP_035828366.1, XP_035828410.1, XP_035828704.1, XP_035828954.1, XP_035829098.1, XP_035829099.1, XP_035829100.1, XP_035829101.1, XP_035829102.1, XP_035829103.1, XP_035829104.1, XP_035829105.1, XP_035829327.1, XP_035829335.1, XP_035829554.1, XP_035829636.1, XP_035829637.1, XP_035829835.1, XP_035829877.1, XP_035829879.1"
Immune receptor	PRRs	CD36/scavenger receptor class B member 1-like	CD36-like	5	6	"LOC101846614, LOC101864379, LOC101847976, LOC101850324, LOC101864114"	"XP_005089008.2, XP_005096207.1, XP_005096208.1, XP_005103573.2, XP_012936704.1, XP_035829286.1"
Immune receptor	PRRs	Cyclic GMP-AMP synthase	cGAS	3	3	"LOC101848176, LOC101852616, LOC101863483"	"XP_005092059.1, XP_005095978.1, XP_012946172.1"
Immune receptor	PRRs	DNA-dependent protein kinase-like	DNAPK	1	1	LOC101854982	XP_035828316.1
Immune receptor	PRRs	Gram-negative bacteria binding-protein	GNBP	3	4	"LOC101861522, LOC101850763, LOC101851233"	"XP_012940630.1, XP_012945130.1, XP_012945133.1, XP_035826871.1"
Immune receptor	PRRs	High mobility group box proteins	HMGBs	32	55	"LOC101850378, LOC101847163, LOC101847702, LOC101860238, LOC101846798, LOC101861106, LOC101857319, LOC101858014, LOC101864213, LOC101856343, LOC101847270, LOC101861455, LOC101856679, LOC101857896, LOC101851068, LOC101859813, LOC101855824, LOC101849972, LOC101863940, LOC101851413, LOC101853467, LOC101853876, LOC101863773, LOC101863144, LOC106013900, LOC101861793, LOC101846345, LOC101857184, LOC101851495, LOC101846459, LOC101846464, LOC101849267"	"XP_005089471.1, XP_005089929.2, XP_005091078.1, XP_005092974.1, XP_005093526.1, XP_005093681.1, XP_005093682.1, XP_005093684.1, XP_005094549.1, XP_005094636.1, XP_005094637.1, XP_005095020.1, XP_005097892.2, XP_005097893.2, XP_005097894.1, XP_005097896.1, XP_005097897.1, XP_005097899.1, XP_005102100.1, XP_005104049.1, XP_005105242.1, XP_005105939.1, XP_005106419.2, XP_005107482.1, XP_005108229.1, XP_005108230.1, XP_005111139.1, XP_005111350.1, XP_012935332.1, XP_012935832.1, XP_012938772.1, XP_012939704.1, XP_012939705.1, XP_012941827.1, XP_012942968.2, XP_012944827.2, XP_012946205.1, XP_035824267.1, XP_035824396.1, XP_035824435.1, XP_035824436.1, XP_035824437.1, XP_035824438.1, XP_035824685.1, XP_035824686.1, XP_035824701.1, XP_035825265.1, XP_035825266.1, XP_035825267.1, XP_035825268.1, XP_035825406.1, XP_035825466.1, XP_035828289.1, XP_035828536.1, XP_035829434.1"
Immune receptor	PRRs	ATP-dependent DNA helicase II/X-ray repair cross-complementing protein 5/6	Ku70/80	2	6	"LOC101860888, LOC101855590"	"XP_005096713.1, XP_012942778.2, XP_035825175.1, XP_035825176.1, XP_035825177.1, XP_035825178.1"
Immune receptor	PRRs	Leucine-rich repeat flightless-interacting protein 1-like	LRRFIP1	1	5	LOC101862386	"XP_012938739.1, XP_012938743.1, XP_012938758.1, XP_012938762.1, XP_012938766.1"
Immune receptor	PRRs	Myeloid Differentiation factor 2/Lymphocyte antigen 96	MD2	15	16	"LOC101854932, LOC101856886, LOC101862577, LOC101853858, LOC101859955, LOC101848455, LOC101852360, LOC101853129, LOC101863399, LOC101854698, LOC106011706, LOC106011707, LOC101863510, LOC106012336, LOC101861063"	"XP_005092952.2, XP_005096779.1, XP_005097572.1, XP_005097573.1, XP_005100086.1, XP_005103957.1, XP_005105032.1, XP_005109751.1, XP_005110587.2, XP_005112192.1, XP_012934962.2, XP_012937692.1, XP_012937693.1, XP_012937701.1, XP_012940458.1, XP_012941707.1"
Immune receptor	PRRs	Double-strand break repair protein MRE11-like	MRE11	1	1	LOC101858081	XP_005090246.1
Immune receptor	PRRs	NOD-like receptor	NLR	1	1	LOC101849611	XP_012937299.1
Immune receptor	PRRs	peptidoglycan recognition proteins	PGRP	2	2	"LOC101858995, LOC101855568"	"XP_005093494.1, XP_005100262.1"
Immune receptor	PRRs	DNA repair protein RAD50	RAD50	1	4	LOC101847050	"XP_005102891.1, XP_005102892.1, XP_005102893.1, XP_012940558.1"
Immune receptor	PRRs	RIG-I-like receptors	RLR	3	5	"LOC101847784, LOC101853474, LOC101853805"	"XP_005090198.1, XP_005090199.1, XP_005102833.1, XP_005104365.1, XP_035826549.1"
Immune receptor	PRRs	DNA-directed RNA polymerase III	RNApol_III	1	2	LOC101860996	"XP_012942277.1, XP_012942278.1"
Immune receptor	PRRs	scavenger receptor cysteine-rich domain containing protein	SRCR	11	11	"LOC101863350, LOC101850759, LOC101861810, LOC101855611, LOC101845694, LOC106011906, LOC101857202, LOC106012913, LOC101851379, LOC101859163, LOC101845746"	"XP_005100727.2, XP_005110340.2, XP_012937281.1, XP_012937884.1, XP_012938480.1, XP_012938540.1, XP_012941978.2, XP_012942677.1, XP_012945265.1, XP_035825029.1, XP_035828501.1"
Immune receptor	PRRs	Toll-like receptor	TLR	39	44	"LOC101862851, LOC101861183, LOC101859565, LOC101852994, LOC118477115, LOC101858939, LOC101852187, LOC101853950, LOC101845710, LOC101849074, LOC101860761, LOC101855742, LOC101845714, LOC101850363, LOC101848691, LOC101845043, LOC101848243, LOC101850211, LOC101863152, LOC101851910, LOC101852604, LOC101860409, LOC101851267, LOC101860332, LOC101850809, LOC101847044, LOC101848593, LOC101858957, LOC101863390, LOC101850511, LOC101849969, LOC101850048, LOC101855917, LOC101858685, LOC101858387, LOC101845154, LOC101856568, LOC101847817, LOC101848126"	"XP_005090887.2, XP_005091677.1, XP_005091678.1, XP_005096872.3, XP_005096926.1, XP_005097642.1, XP_005098327.1, XP_005101868.1, XP_005102129.1, XP_005104848.1, XP_005104953.2, XP_005105430.1, XP_005105758.2, XP_005106055.1, XP_005107956.1, XP_005107957.1, XP_005108716.1, XP_005108717.1, XP_005108718.1, XP_005109462.3, XP_005110330.1, XP_005110739.2, XP_005111527.1, XP_005112480.1, XP_012934819.1, XP_012937543.1, XP_012938014.1, XP_012938273.1, XP_012939284.1, XP_012939334.1, XP_012939420.1, XP_012941792.1, XP_012942443.2, XP_012943559.1, XP_012944783.1, XP_012944784.1, XP_012945226.1, XP_012945486.1, XP_012946304.1, XP_012946829.1, XP_035824333.1, XP_035825008.1, XP_035825160.1, XP_035826698.1"
Intracellular signal transduction	Apoptosis	Mitochondrial apoptosis-inducing factor	AIF	1	2	LOC100533557	"XP_005112513.1, XP_012945888.1"
Intracellular signal transduction	Apoptosis	Apoptosis regulator Bcl2- like	Bcl2-like	6	6	"LOC101848156, LOC101847732, LOC101851280, LOC101849554, LOC101854270, LOC101854628"	"XP_005089109.1, XP_005100743.1, XP_005102292.2, XP_005103752.1, XP_005104447.1, XP_012935794.1"
Intracellular signal transduction	Apoptosis	Caspases	Caspase	8	18	"LOC101857389, LOC101863347, LOC101863589, LOC101856491, LOC101857194, LOC101850058, LOC101859898, LOC101846323"	"XP_005092532.1, XP_005092533.1, XP_005099862.1, XP_005099863.1, XP_005113266.2, XP_012934743.1, XP_012940622.1, XP_012944029.1, XP_012945247.1, XP_012945422.1, XP_012945423.1, XP_012945424.1, XP_035824122.1, XP_035824123.1, XP_035824124.1, XP_035824125.1, XP_035824126.1, XP_035824127.1"
Intracellular signal transduction	Apoptosis	Fas apoptotic inhibitory molecule	FAIM	2	2	"LOC101863121, LOC106012994"	"XP_005104659.1, XP_012942997.1"
Intracellular signal transduction	Apoptosis	Serine protease HTRA2	HTRA2	1	1	LOC101848371	XP_005103747.1
Intracellular signal transduction	E3 Ubiquitin ligases	RanBP-type and C3HC4-type zinc finger-containing protein 1 RBCK1	HOIL1	1	3	LOC101863809	"XP_035825201.1, XP_035825202.1, XP_035825203.1"
Intracellular signal transduction	E3 Ubiquitin ligases	E3 ubiquitin-protein ligase RNF31	HOIP	1	1	LOC101849805	XP_005111217.1
Intracellular signal transduction	E3 Ubiquitin ligases	Baculoviral IAP repeat-containing proteins	IAPs	22	53	"LOC101856868, LOC101851721, LOC101853076, LOC100533535, LOC101845623, LOC101857043, LOC101860034, LOC101848377, LOC101854200, LOC101860770, LOC101853352, LOC101862925, LOC106011370, LOC101852760, LOC101861355, LOC101853292, LOC101848507, LOC101848737, LOC101849449, LOC101845464, LOC101847984, LOC101844975"	"XP_005091926.2, XP_005095049.2, XP_005095400.1, XP_005095561.2, XP_005100052.1, XP_005100053.1, XP_005100054.1, XP_005104117.1, XP_005104120.1, XP_005104122.1, XP_005104124.1, XP_005104126.1, XP_005104127.1, XP_005104128.1, XP_005104129.1, XP_005104130.1, XP_005104133.1, XP_005107021.1, XP_005108138.1, XP_005108254.2, XP_005108255.2, XP_005108256.2, XP_005109671.1, XP_005113441.1, XP_012936196.1, XP_012936515.1, XP_012936602.1, XP_012941201.1, XP_012941202.1, XP_012941204.1, XP_012941208.1, XP_012941209.1, XP_012946594.1, XP_012946910.1, XP_012946912.1, XP_035824826.1, XP_035824827.1, XP_035824828.1, XP_035824835.1, XP_035824978.1, XP_035824979.1, XP_035825485.1, XP_035827135.1, XP_035827136.1, XP_035827137.1, XP_035827138.1, XP_035827139.1, XP_035827353.1, XP_035828267.1, XP_035828582.1, XP_035828583.1, XP_035829613.1, XP_035829827.1"
Intracellular signal transduction	E3 Ubiquitin ligases	RNA-binding E3 ubiquitin-protein ligase MEX3C	MEX3C	1	1	LOC101854000	XP_005092167.2
Intracellular signal transduction	E3 Ubiquitin ligases	E3 ubiquitin ligase Pellino	Pellino	1	1	LOC101863733	XP_005094406.1
Intracellular signal transduction	E3 Ubiquitin ligases	E3 ubiquitin-protein ligase RNF135/RING finger protein leading to RIG-I activation	RNF134/RIPLET	2	2	"LOC101862807, LOC101858054"	"XP_005101311.1, XP_035827720.1"
Intracellular signal transduction	E3 Ubiquitin ligases	Sharpin	SHARPIN	1	1	LOC101863809	XP_035825204.1
Intracellular signal transduction	E3 Ubiquitin ligases	Suppressor of cytokine signaling	SOCS	5	9	"LOC101863556, LOC101857639, LOC101854668, LOC101856240, LOC101864191"	"XP_005089815.1, XP_005097900.1, XP_005108140.1, XP_005108141.1, XP_005113414.1, XP_012945506.1, XP_012945507.1, XP_035829201.1, XP_035829202.1"
Intracellular signal transduction	E3 Ubiquitin ligases	TNF receptor-associated factors	TRAF	7	7	"LOC101846107, LOC101856862, LOC101856795, LOC101846144, LOC101859360, LOC101844983, LOC101859878"	"XP_005089646.1, XP_005091031.2, XP_005095243.2, XP_005100825.2, XP_005107744.2, XP_012934910.1, XP_012941470.1"
Intracellular signal transduction	E3 Ubiquitin ligases	E3 ubiquitin-protein ligase TRIM	TRIM	22	32	"LOC101857754, LOC101857986, LOC101848790, LOC101850399, LOC101854238, LOC101856497, LOC101849117, LOC101850319, LOC101856013, LOC101853010, LOC101857504, LOC101862821, LOC101858438, LOC101846996, LOC101851691, LOC101848165, LOC101859907, LOC101846188, LOC101860337, LOC101859204, LOC101859523, LOC101848731"	"XP_005088881.1, XP_005088882.1, XP_005088883.1, XP_005088884.1, XP_005089573.1, XP_005092418.1, XP_005093208.1, XP_005093393.1, XP_005094247.1, XP_005094252.1, XP_005095413.1, XP_005101957.1, XP_005104382.1, XP_005104383.1, XP_005105089.1, XP_005107065.1, XP_005110236.1, XP_005112056.2, XP_005112544.1, XP_005112879.1, XP_005113065.2, XP_012938931.1, XP_012941716.1, XP_012944431.1, XP_012944809.1, XP_012946151.1, XP_012946152.1, XP_012946153.1, XP_035824316.1, XP_035824388.1, XP_035824868.1, XP_035825054.1"
Intracellular signal transduction	E3 Ubiquitin ligases	E3 ubiquitin/ISG15 ligase TRIM25/65	TRIM25/65	2	2	"LOC101862807, LOC101858054"	"XP_005101311.1, XP_035827720.1"
Intracellular signal transduction	"Interleukins, Cytokines and Hematopoietins"	Granulins	Granulins	1	6	LOC101846478	"XP_005090714.1, XP_012942575.1, XP_012942579.1, XP_012942581.1, XP_012942592.1, XP_035827897.1"
Intracellular signal transduction	"Interleukins, Cytokines and Hematopoietins"	Interleukin 17	IL-17	4	4	"LOC101857089, LOC101857312, LOC101846730, LOC101857050"	"XP_005091582.1, XP_005091583.1, XP_005097238.1, XP_035827691.1"
Intracellular signal transduction	"Interleukins, Cytokines and Hematopoietins"	Interleukin 17 receptor	IL17R	3	4	"LOC101850817, LOC101849802, LOC101852736"	"XP_005102031.2, XP_005110896.1, XP_005110910.1, XP_035826577.1"
Intracellular signal transduction	"Interleukins, Cytokines and Hematopoietins"	Macrophage migration inhibitory factor	MIF	7	9	"LOC101855409, LOC101852104, LOC101860268, LOC101854828, LOC101855056, LOC101854447, LOC106013771"	"XP_005093919.1, XP_005102480.1, XP_005102481.1, XP_005103629.2, XP_005109334.1, XP_005109335.1, XP_012944009.1, XP_012945843.1, XP_035826717.1"
Intracellular signal transduction	JAK/STAT	Tyrosine-protein kinase JAK	JAK	1	1	LOC101861981	XP_005106730.1
Intracellular signal transduction	JAK/STAT	Signal transducer and activator of transcription	STAT	1	1	LOC101861517	XP_012939841.1
Intracellular signal transduction	NFkB/IRF pathway	Activating protein 1 family	AP-1	8	10	"LOC101856191, LOC101859950, LOC101858835, LOC106011146, LOC101846340, LOC101852168, LOC101863713, LOC101860457"	"XP_005101282.1, XP_005102859.2, XP_005113037.1, XP_005113038.1, XP_012935234.1, XP_012935895.2, XP_012936325.1, XP_012946022.1, XP_035826395.1, XP_035829008.1"
Intracellular signal transduction	NFkB/IRF pathway	Apoptosis signal-regulating kinase (MAP3Ks)	ASK	1	1	LOC101862124	XP_012940311.1
Intracellular signal transduction	NFkB/IRF pathway	Extracellularly Regulated Kinase 1/2	ERK1/2	1	1	LOC100533212	XP_005108216.1
Intracellular signal transduction	NFkB/IRF pathway	Inhibitor of NFkB	IkB	2	5	"LOC101852802, LOC101847780"	"XP_005109841.1, XP_005109842.1, XP_005109843.1, XP_005109844.1, XP_005111546.1"
Intracellular signal transduction	NFkB/IRF pathway	Inhibitor of nuclear factor kappa-B kinase subunit alpha	IKK	2	2	"LOC101856649, LOC106012158"	"XP_005096610.3, XP_012939647.1"
Intracellular signal transduction	NFkB/IRF pathway	Inhibitor of nuclear factor kappa-B kinase subunit epsilon	IKKe/i	2	2	"LOC101853683, LOC101847449"	"XP_005093119.1, XP_005107353.2"
Intracellular signal transduction	NFkB/IRF pathway	NF-kappa-B essential modulator	IKKg/NEMO	1	1	LOC101858005	XP_012934622.1
Intracellular signal transduction	NFkB/IRF pathway	Interleukin-1 receptor-associated kinase 1	IRAK	2	4	"LOC101845840, LOC101845636"	"XP_005095879.2, XP_005104939.3, XP_012941607.2, XP_035827356.1"
Intracellular signal transduction	NFkB/IRF pathway	Interferon regulatory factor	IRF	7	7	"LOC101852128, LOC101855936, LOC101850966, LOC101864001, LOC101847769, LOC101863854, LOC106011030"	"XP_005088853.1, XP_005094899.2, XP_005101608.1, XP_005104410.1, XP_005110328.1, XP_005110479.2, XP_012934632.1"
Intracellular signal transduction	NFkB/IRF pathway	Mitogen-activated protein kinase 8	JNK	1	1	jnk	NP_001191547.1
Intracellular signal transduction	NFkB/IRF pathway	Activating protein 1 JUN	JUN	1	1	c-Jun	NP_001268726.1
Intracellular signal transduction	NFkB/IRF pathway	Dual specificity mitogen-activated protein kinase kinase	MAP2Ks	5	8	"LOC101850764, LOC101845548, LOC101860284, LOC101846645, LOC101846695"	"XP_005089385.1, XP_005089386.1, XP_005098776.1, XP_005098777.1, XP_005098779.1, XP_005108851.1, XP_012936929.1, XP_012944638.2"
Intracellular signal transduction	NFkB/IRF pathway	"Mitogen activated protein kinase kinase kinase 10 (MST, MLK2)"	MAP3K10	1	1	LOC101864517	XP_005095192.1
Intracellular signal transduction	NFkB/IRF pathway	"Mitogen activated protein kinase kinase kinase 12/13 (DLK, MEKK12/13)"	MAP3K12/13	1	1	LOC101864115	XP_012941530.1
Intracellular signal transduction	NFkB/IRF pathway	Dual specificity mitogen-activated protein kinase kinase kinase	MAP3Ks	15	27	"LOC101852077, LOC101864517, LOC101857107, LOC101860249, LOC101846076, LOC101860434, LOC101852883, LOC101851449, LOC101862767, LOC101860551, LOC101860789, LOC101861491, LOC101854847, LOC101864115, LOC101864125"	"XP_005091198.1, XP_005095192.1, XP_005097198.2, XP_005098409.1, XP_005098410.1, XP_005100392.1, XP_005105344.1, XP_005109668.1, XP_005109919.1, XP_005112601.2, XP_005113356.2, XP_005113357.2, XP_005113360.2, XP_005113408.1, XP_012941530.1, XP_012945165.1, XP_012945170.1, XP_012945173.1, XP_012945176.1, XP_012945179.1, XP_012946566.1, XP_035827456.1, XP_035828579.1, XP_035829041.1, XP_035829055.1, XP_035829057.1, XP_035829058.1"
Intracellular signal transduction	NFkB/IRF pathway	Mitogen activated protein kinases	MAPKs	5	6	"LOC100533304, jnk, LOC101850222, LOC101859802, LOC100533212"	"NP_001191531.1, NP_001191547.1, XP_005090387.1, XP_005103873.1, XP_005103874.1, XP_005108216.1"
Intracellular signal transduction	NFkB/IRF pathway	MAP kinase-activated protein kinase 2	MK2	1	1	LOC101861689	XP_005109535.1
Intracellular signal transduction	NFkB/IRF pathway	Mitogen activated protein kinase phosphatase	MKP	4	5	"LOC101847406, LOC101846654, LOC101852280, LOC101847075"	"XP_005091785.1, XP_005099471.1, XP_005099472.1, XP_005109665.1, XP_035829012.1"
Intracellular signal transduction	NFkB/IRF pathway	Major Vault Protein	MVP	4	7	"LOC101847145, LOC101848074, LOC101861920, LOC101860982"	"XP_005108620.1, XP_005108621.1, XP_005108623.1, XP_012936930.1, XP_035826504.1, XP_035828354.1, XP_035828356.1"
Intracellular signal transduction	NFkB/IRF pathway	Nck-associated_protein-1	NAP1	1	8	LOC101852476	"XP_005099155.1, XP_012938421.1, XP_035825855.1, XP_035825856.1, XP_035825857.1, XP_035825858.1, XP_035825859.1, XP_035825860.1"
Intracellular signal transduction	NFkB/IRF pathway	Nuclear factor kB	NFkB	3	4	"LOC101855313, LOC101858233, LOC101860399"	"XP_005091023.1, XP_005091024.1, XP_012941922.2, XP_035824873.1"
Intracellular signal transduction	NFkB/IRF pathway	p38 MAPK/ MAPK14	p38	2	2	"LOC100533304, LOC101857669"	"NP_001191531.1, XP_012942328.1"
Intracellular signal transduction	NFkB/IRF pathway	RIG-I and MAVS type CARD domain containing proteins	RIGI/IPS1_CARD_DC	3	10	"LOC101858480, LOC101854640, LOC101846979"	"XP_005095509.1, XP_005095510.1, XP_005095511.1, XP_005098992.1, XP_005098993.1, XP_005098994.1, XP_005105549.1, XP_035824900.1, XP_035825824.1, XP_035825825.1"
Intracellular signal transduction	NFkB/IRF pathway	RIO Kinase 3	RIOK3	1	3	LOC101857430	"XP_005105594.1, XP_005105595.1, XP_005105596.1"
Intracellular signal transduction	NFkB/IRF pathway	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	TAB1	14	20	"LOC101852987, LOC101859229, LOC101844989, LOC101856413, LOC101847331, LOC101854257, LOC101863195, LOC101861133, LOC101853630, LOC101847443, LOC101854603, LOC101861112, LOC101860377, LOC101850364"	"XP_005092254.1, XP_005094473.1, XP_005094474.1, XP_005095194.2, XP_005095195.1, XP_005095331.1, XP_005096220.1, XP_005096222.1, XP_005096223.1, XP_005099163.1, XP_005101231.1, XP_005101909.1, XP_005102660.1, XP_005105107.1, XP_005107634.1, XP_012936291.1, XP_012938360.1, XP_035824801.1, XP_035828217.1, XP_035828218.1"
Intracellular signal transduction	NFkB/IRF pathway	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2/3	TAB2/3	1	2	LOC101854409	"XP_005097969.1, XP_035825556.1"
Intracellular signal transduction	NFkB/IRF pathway	MAP3K7/TGF-beta-activated kinase 1	TAK1	1	10	LOC101852077	"XP_005091198.1, XP_012945165.1, XP_012945170.1, XP_012945173.1, XP_012945176.1, XP_012945179.1, XP_035829041.1, XP_035829055.1, XP_035829057.1, XP_035829058.1"
Intracellular signal transduction	NFkB/IRF pathway	TANK-binding kinase 1/ NFkB activated Kinase	TBK1/NAK	2	2	"LOC101853683, LOC101847449"	"XP_005093119.1, XP_005107353.2"
Intracellular signal transduction	Other signaling	A disintegrin and metalloproteinase	ADAM	25	28	"LOC101859462, LOC101851566, LOC101846280, LOC101847717, LOC101849541, LOC101851963, LOC101850200, LOC101856388, LOC101851690, LOC101846393, LOC101845373, LOC101854074, LOC101846726, LOC101848035, LOC101861052, LOC101862747, LOC101848909, LOC101852348, LOC106013127, LOC101848844, LOC101860130, LOC101847859, LOC101855232, LOC100533548, LOC101858466"	"XP_005092027.2, XP_005094351.1, XP_005096215.1, XP_005096483.1, XP_005099982.1, XP_005102035.2, XP_005107365.1, XP_005107366.1, XP_005110846.3, XP_005111802.2, XP_005111863.2, XP_005111940.2, XP_012935843.2, XP_012936105.1, XP_012936482.1, XP_012939839.1, XP_012940095.1, XP_012941800.1, XP_012942176.1, XP_012942181.1, XP_012943511.2, XP_012943732.1, XP_012944145.1, XP_012946441.1, XP_012946905.1, XP_035826059.1, XP_035829018.1, XP_035829504.1"
Intracellular signal transduction	Other signaling	Catenin beta	b-Catenin	1	1	LOC100533383	NP_001191600.1
Intracellular signal transduction	Other signaling	GTPase IMAP family member	GIMAP	30	36	"LOC101845224, LOC101860149, LOC101860390, LOC101860958, LOC101858097, LOC101858335, LOC101862640, LOC101855492, LOC101844996, LOC101851500, LOC101857124, LOC101859113, LOC101850424, LOC101853574, LOC101854656, LOC101855669, LOC101860770, LOC101853357, LOC101853589, LOC101855696, LOC101859619, LOC106010960, LOC101848857, LOC106012797, LOC106013000, LOC101857525, LOC101851489, LOC118477684, LOC101855257, LOC118477721"	"XP_005092570.1, XP_005093064.1, XP_005093066.2, XP_005093068.1, XP_005095422.1, XP_005095423.1, XP_005096285.2, XP_005098739.3, XP_005098866.2, XP_005098897.1, XP_005102055.2, XP_005102778.2, XP_005103073.1, XP_005104364.1, XP_005104629.1, XP_005105409.1, XP_005108254.2, XP_005108255.2, XP_005108256.2, XP_005110990.1, XP_005110991.2, XP_005112733.1, XP_005113116.1, XP_012936299.1, XP_012938541.1, XP_012942253.2, XP_012943010.1, XP_012944975.1, XP_035824148.1, XP_035824149.1, XP_035824884.1, XP_035825073.1, XP_035825643.1, XP_035825753.1, XP_035825799.1, XP_035828267.1"
Intracellular signal transduction	Other signaling	RanBP2 domain containing proteins	RanBP2DC	18	40	"LOC101860629, LOC101858246, LOC101855404, LOC101862331, LOC101862405, LOC101856884, LOC101859702, LOC101862650, LOC101847824, LOC101850276, LOC101854296, LOC101849805, LOC101853132, LOC101863650, LOC101846497, LOC101863809, LOC101845967, LOC101848964"	"XP_005091943.1, XP_005092020.1, XP_005092021.1, XP_005092022.1, XP_005092264.1, XP_005092559.2, XP_005092560.2, XP_005095358.1, XP_005096261.1, XP_005096262.1, XP_005097210.2, XP_005098946.1, XP_005098947.1, XP_005100063.2, XP_005106506.1, XP_005111157.2, XP_005111160.2, XP_005111161.2, XP_005111217.1, XP_005111227.1, XP_005111228.1, XP_005113588.2, XP_012936257.1, XP_012937274.1, XP_012945101.1, XP_012946966.1, XP_035824141.1, XP_035824142.1, XP_035824143.1, XP_035824144.1, XP_035824145.1, XP_035825041.1, XP_035825201.1, XP_035825202.1, XP_035825203.1, XP_035825204.1, XP_035829010.1, XP_035829853.1, XP_035829854.1, XP_005096660.1"
Intracellular signal transduction	Other signaling	sialate O-acetylesterase	SIAE	4	5	"LOC101858299, LOC101860596, LOC101860356, LOC101860839"	"XP_005106538.1, XP_005106548.2, XP_012942502.1, XP_012942504.1, XP_035827811.1"
Intracellular signal transduction	TLR adaptor moleculues	Armadillo fold and TIR domain containing proteins	ARM-TIR	11	13	"LOC101851332, LOC101851026, LOC101850562, LOC101856198, LOC101855561, LOC101849069, LOC101861301, LOC101845869, LOC101859901, LOC101858605, LOC101850713"	"XP_005093196.1, XP_005094522.1, XP_005098116.2, XP_005102844.2, XP_012937829.1, XP_012940317.1, XP_012940990.2, XP_012942420.1, XP_012945637.1, XP_012946843.1, XP_035824677.1, XP_035825293.1, XP_035827032.1"
Intracellular signal transduction	TLR adaptor moleculues	Evolutionarily conserved signaling intermediate in Toll pathway	ECSIT	1	2	LOC101857763	"XP_005091035.1, XP_005091036.1"
Intracellular signal transduction	TLR adaptor moleculues	Epidermal growth factor and TIR domain containing proteins	EGF-TIR	2	2	"LOC101855416, LOC101856027"	"XP_012936554.1, XP_012938631.1"
